Date (UT)	J2000 RA	J2000 Dec	Magn	Location	Ref
2017 10 14.43936	04 49 12.95	-02 29 47.4	19.0 G	703 – Catalina Sky Survey	MPC 106548
2017 10 17.37391	02 36 45.71	+01 06 17.7	19.5 G	703 – Catalina Sky Survey	MPC 106548
2017 10 18.472979	01 59 57.460	+02 06 04.02	19.6 G	F51 – Pan-STARRS 1, Haleakala	MPC 110734
2017 10 18.499898	01 59 08.928	+02 07 20.53	 	F51 – Pan-STARRS 1, Haleakala	MPC 110734
2017 10 19.397150	01 34 55.364	+02 45 03.09	19.6 G	F51 – Pan-STARRS 1, Haleakala	MPC 110734
2017 10 19.408370	01 34 38.761	+02 45 28.19	19.6 G	F51 – Pan-STARRS 1, Haleakala	MPC 110734
2017 10 19.419685	01 34 21.996	+02 45 53.47	19.5 G	F51 – Pan-STARRS 1, Haleakala	MPC 110734
2017 10 19.431056	01 34 05.210	+02 46 18.48	 	F51 – Pan-STARRS 1, Haleakala	MPC 110734
2017 10 19.86072	01 24 07.89	+03 01 07.5	19.6 R	104 – San Marcello Pistoiese	MPC 106548
2017 10 19.86325	01 24 04.27	+03 01 10.6	 	246 – Klet Observatory-KLENOT	MPC 106548
2017 10 19.86350	01 24 04.05	+03 01 11.1	 	246 – Klet Observatory-KLENOT	MPC 106548
2017 10 19.86425	01 24 03.06	+03 01 13.3	 	246 – Klet Observatory-KLENOT	MPC 106548
2017 10 19.86492	01 24 02.21	+03 01 16.3	19.8 R	104 – San Marcello Pistoiese	MPC 106548
2017 10 19.86905	01 23 56.69	+03 01 24.7	20.3 R	104 – San Marcello Pistoiese	MPC 106548
2017 10 19.940934	01 22 22.288	+03 03 53.76	20.3 G	J04 – ESA Optical Ground Station, Tenerife	MPC 106548
2017 10 19.943901	01 22 18.372	+03 03 59.57	20.1 G	J04 – ESA Optical Ground Station, Tenerife	MPC 106548
2017 10 20.17250	01 17 27.47	+03 11 07.8	19.9 G	I52 – Steward Observatory, Mt. Lemmon Station	MPC 106548
2017 10 20.17348	01 17 26.22	+03 11 09.6	20.2 G	I52 – Steward Observatory, Mt. Lemmon Station	MPC 106548
2017 10 20.17448	01 17 24.96	+03 11 11.3	20.2 G	I52 – Steward Observatory, Mt. Lemmon Station	MPC 106548
2017 10 20.17546	01 17 23.73	+03 11 13.0	20.6 G	I52 – Steward Observatory, Mt. Lemmon Station	MPC 106548
2017 10 21.22371	00 57 56.30	+03 39 16.9	20.2 R	291 – LPL/Spacewatch II	MPC 106548
2017 10 21.22623	00 57 53.76	+03 39 20.5	19.5 R	291 – LPL/Spacewatch II	MPC 106548
2017 10 21.22877	00 57 51.19	+03 39 24.2	19.6 R	291 – LPL/Spacewatch II	MPC 106548
2017 10 21.37476	00 55 26.71	+03 42 45.0	20.4 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 21.37804	00 55 23.53	+03 42 49.8	20.1 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 21.38132	00 55 20.35	+03 42 53.7	20.4 R	926 – Tenagra II Observatory, Nogales	MPC 106548
2017 10 22.29708	00 41 56.27	+04 01 25.0	 	H06 – iTelescope Observatory, Mayhill	MPC 106548
2017 10 22.30118	00 41 52.93	+04 01 29.3	 	H06 – iTelescope Observatory, Mayhill	MPC 106548
2017 10 22.30512	00 41 49.76	+04 01 33.5	20.7 w	H06 – iTelescope Observatory, Mayhill	MPC 106548
2017 10 22.371415	00 40 57.815	+04 02 50.75	20.8 G	568 – Maunakea	MPC 110734
2017 10 22.372590	00 40 56.875	+04 02 52.02	20.7 G	568 – Maunakea	MPC 110734
2017 10 22.373983	00 40 55.762	+04 02 53.49	20.7 G	568 – Maunakea	MPC 110734
2017 10 22.46548	00 39 44.84	+04 04 55.4	 	Q62 – iTelescope Observatory, Siding Spring	MPC 106548
2017 10 22.47027	00 39 41.16	+04 04 59.9	 	Q62 – iTelescope Observatory, Siding Spring	MPC 106548
2017 10 22.47506	00 39 37.39	+04 05 04.8	19.9 w	Q62 – iTelescope Observatory, Siding Spring	MPC 106548
2017 10 23.18830	00 31 01.55	+04 16 02.6	20.4 R	734 – Farpoint Observatory, Eskridge	MPC 106548
2017 10 23.19547	00 30 56.65	+04 16 08.7	20.1 R	734 – Farpoint Observatory, Eskridge	MPC 106548
2017 10 23.20264	00 30 51.76	+04 16 14.6	20.4 R	734 – Farpoint Observatory, Eskridge	MPC 106548
2017 10 23.384311	00 28 51.402	+04 19 02.21	23.0 G	568 – Maunakea	MPC 110734
